f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55
1.112,116.445,9.855,4.412,1151.119,1367.413,30.239,0.264,1.357,27.333,-0.064,1.557,43.444,-0.0,46.114,47.0,876.947,54.198,873.561,0.0,393.205,0.0,-0.044,0.0,0.596,-0.045,-0.0,0.0,1338.933,11.202,45.898,100.0,0.0,0.0,0.0,0.0,100.0,0.997,0.923,92.187,43.678,92.187,1029.87,1199.08,24.604,139.826,110.0,139.824,34.956,259.005,77.692,27.102,77.102,4.353,3177.868
1.096,293.932,9.891,4.261,836.543,1199.227,36.638,-3.597,1.618,118.118,4.737,6.95,33.284,0.0,28.726,47.0,833.982,51.586,826.344,0.0,2.68,0.0,74.247,0.0,29.684,74.247,77.32,0.0,1347.936,12.47,46.17,100.0,0.0,0.0,0.0,0.0,100.0,1.051,1.108,91.36,41.317,91.36,808.763,786.604,47.525,123.996,110.0,123.975,30.994,257.438,75.235,25.8,74.317,5.854,1925.041
1.308,114.207,9.507,4.348,3132.922,1326.202,27.765,-4.564,1.237,75.523,3.986,4.303,44.454,0.0,49.4,47.0,894.223,55.14,905.531,0.0,184.388,0.0,-0.046,0.0,0.307,-0.046,-0.0,0.0,1337.184,7.368,45.432,100.001,0.0,0.0,0.0,0.0,100.0,1.054,1.017,93.708,45.277,93.708,1148.202,1086.017,33.457,135.908,110.0,136.742,33.977,280.776,78.662,27.567,80.315,6.933,3401.235
1.421,293.107,9.43,4.109,3747.347,1892.672,108.814,3.289,5.153,27.176,-4.112,1.572,40.897,0.0,49.206,47.0,833.152,51.8,826.978,0.0,200.153,0.0,28.107,0.0,8.48,27.287,0.115,0.0,1335.508,16.577,46.712,76.081,0.0,0.0,0.0,0.0,76.928,1.088,1.099,91.792,41.296,91.792,1004.943,1066.192,71.886,126.149,110.0,126.487,31.537,240.097,75.316,25.905,74.013,5.134,3407.6
1.371,155.782,9.895,3.888,3206.518,1486.756,25.272,-2.182,1.106,30.769,-0.213,9.633,41.995,-0.0,39.275,47.0,804.562,49.597,780.191,0.0,247.219,0.0,-0.031,0.0,2.557,-0.036,0.0,0.0,1341.806,18.25,46.939,94.774,0.0,0.0,0.0,0.0,94.789,-0.089,0.958,89.919,38.935,89.919,1026.428,1174.785,64.601,123.976,110.0,123.976,30.994,243.971,73.142,24.79,76.594,5.073,3289.454
1.219,378.877,9.921,4.357,2071.0,1315.422,36.932,-2.76,1.633,102.945,2.36,5.223,41.188,0.0,56.573,47.0,763.088,47.548,782.361,0.0,280.573,0.0,278.914,0.0,71.089,278.331,261.758,0.0,1319.991,18.91,47.053,69.468,0.0,0.0,0.0,0.0,69.326,1.088,1.095,92.675,39.118,92.675,996.336,1101.778,71.64,110.307,110.0,110.684,27.626,206.171,70.849,23.758,79.379,4.392,3384.691
1.109,472.949,9.524,4.343,1315.917,1284.417,26.764,-5.14,1.224,130.151,6.609,9.068,45.181,0.0,43.615,47.0,890.469,55.171,884.484,0.0,99.457,0.0,1.547,0.0,0.883,1.549,0.0,0.0,1341.348,9.76,45.792,98.918,0.0,0.0,0.0,0.0,98.461,1.079,1.021,91.982,44.224,91.982,1150.929,1158.045,13.882,136.966,110.0,137.332,34.333,276.572,78.728,27.591,77.598,7.1,3360.722
1.355,444.36,10.03,4.319,3287.51,1406.908,36.598,-0.069,1.637,27.176,-1.575,1.568,41.928,0.0,54.359,47.0,787.311,49.332,814.195,0.0,316.017,0.0,158.066,0.0,37.925,158.406,138.944,0.0,1333.795,10.411,45.889,79.379,0.0,0.0,0.0,0.0,78.573,1.042,1.028,94.014,40.71,94.014,1065.629,1171.407,84.863,119.251,110.0,119.73,29.871,239.096,72.84,24.664,76.732,4.668,3429.26
1.028,129.694,9.466,4.288,335.933,1119.38,131.446,3.939,6.494,27.0,-5.759,1.519,41.694,0.0,43.068,47.0,794.897,49.894,797.769,0.0,72.862,0.0,138.599,0.0,41.676,138.563,133.292,0.0,1340.146,17.179,46.815,63.329,0.0,0.0,0.0,0.0,63.66,1.126,1.153,91.827,39.89,91.827,990.821,1042.096,32.53,116.091,110.0,116.376,29.094,232.595,73.44,24.939,75.904,5.202,3062.03
1.363,251.179,9.518,3.921,3220.657,1721.529,78.409,2.422,3.487,27.294,-2.681,1.562,43.67,0.0,45.388,47.0,814.768,49.955,783.316,0.0,228.709,0.0,-0.036,0.0,0.824,-0.036,-0.0,0.0,1343.017,18.393,47.047,80.816,0.0,0.0,0.0,0.0,80.743,1.074,1.071,89.271,39.165,89.271,1044.674,1176.696,53.257,120.067,110.0,119.934,29.983,221.298,73.61,24.994,77.34,4.952,3453.697
